Key	Type	Desc	English	German	Japanese	Korean	Spanish	Chinese (Simplified)	Thai
FoodAdjectives/DaggerFinMale	Text	 [new]	Sharp	Scharfer	鋭い	날카로운	Afilado	锋利的	แหลมคม
FoodAdjectives/DarkLavaEater	Text	 [new]	Dark	Dunkles	暗黒の	어두운	Oscuro	深色的	เข้ม
FoodAdjectives/DarkLavaEaterFemale	Text	 [new]	Dark	Dunkle	暗黒の	어두운	Oscura	深色的	เข้ม
FoodAdjectives/DarkLavaEaterMale	Text	 [new]	Dark	Dunkler	暗黒の	어두운	Oscuro	深色的	เข้ม
FoodAdjectives/Deepstalker	Text	 [new]	Glistening	Glimmerndes	玲瓏な	반들거리는	Lustroso	莹润的	แวววาว
FoodAdjectives/DeepstalkerFemale	Text	 [new]	Glistening	Glimmernde	玲瓏な	반들거리는	Lustrosa	莹润的	แวววาว
FoodAdjectives/DeepstalkerMale	Text	 [new]	Glistening	Glimmernder	玲瓏な	반들거리는	Lustroso	莹润的	แวววาว
FoodAdjectives/DevilWorm	Text	 [new]	Devilish	Teuflisches	悪魔の	악마의	Diabólico	宛如恶魔的	ปิศาจ
FoodAdjectives/DevilWormFemale	Text	 [new]	Devilish	Teuflische	悪魔の	악마의	Diabólica	宛如恶魔的	ปิศาจ
FoodAdjectives/DevilWormMale	Text	 [new]	Devilish	Teuflischer	悪魔の	악마의	Diabólico	宛如恶魔的	ปิศาจ
FoodAdjectives/Egg	Text	 [new]	Yummy	Leckeres	おいしい	맛있는	Rico	好吃	อร่อย
FoodAdjectives/EggFemale	Text	 [new]	Yummy	Leckere	おいしい	맛있는	Rica	好吃	อร่อย
FoodAdjectives/EggMale	Text	 [new]	Yummy	Leckerer	おいしい	맛있는	Rico	好吃	อร่อย
FoodAdjectives/ElderDragonfish	Text	 [new]	Elder	Älteres	古くからの	늙은	Mayor	古老的	อาวุโส
FoodAdjectives/ElderDragonfishFemale	Text	 [new]	Elder	Ältere	古くからの	늙은	Mayor	古老的	อาวุโส
FoodAdjectives/ElderDragonfishMale	Text	 [new]	Elder	Älterer	古くからの	늙은	Mayor	古老的	อาวุโส
FoodAdjectives/EmeraldFeatherFish	Text	 [new]	Emerald	Smaragdgrünes	翡翠色の	에메랄드	Esmeralda	翠绿色	มรกต
FoodAdjectives/EmeraldFeatherFishFemale	Text	 [new]	Emerald	Smaragdgrüne	翡翠色の	에메랄드	Esmeralda	翠绿色	มรกต
FoodAdjectives/EmeraldFeatherFishMale	Text	 [new]	Emerald	Smaragdgrüner	翡翠色の	에메랄드	Esmeralda	翠绿色	มรกต
FoodAdjectives/GemCrab	Text	 [new]	Glimmering	Schimmerndes	光り輝く	깜빡이는	Centelleante	闪烁着亮光的	วิบวับ
FoodAdjectives/GemCrabFemale	Text	 [new]	Glimmering	Schimmernde	光り輝く	깜빡이는	Centelleante	闪烁着亮光的	วิบวับ
FoodAdjectives/GemCrabMale	Text	 [new]	Glimmering	Schimmernder	光り輝く	깜빡이는	Centelleante	闪烁着亮光的	วิบวับ
FoodAdjectives/GiantMushroom	Text	 [new]	Giant	Riesiges	ジャンボ	거대	Gigante	巨大的	ยักษ์
FoodAdjectives/GiantMushroomFemale	Text	 [new]	Giant	Riesige	ジャンボ	거대	Gigante	巨大的	ยักษ์
FoodAdjectives/GiantMushroomMale	Text	 [new]	Giant	Riesiger	ジャンボ	거대	Gigante	巨大的	ยักษ์
FoodAdjectives/GlowingTulipFlower	Text	 [new]	Glowing	Leuchtendes	発光する	빛나는	Fulgurante	会发光的	ส่องสว่าง
FoodAdjectives/GlowingTulipFlowerFemale	Text	 [new]	Glowing	Leuchtende	発光する	빛나는	Fulgurante	会发光的	ส่องสว่าง
FoodAdjectives/GlowingTulipFlowerMale	Text	 [new]	Glowing	Leuchtender	発光する	빛나는	Fulgurante	会发光的	ส่องสว่าง
FoodAdjectives/GlowingTulipFlowerRare	Text	 [new]	Shining	Strahlendes	輝く	반짝반짝이는	Resplandeciente	闪亮的	เปล่งประกาย
FoodAdjectives/GlowingTulipFlowerRareFemale	Text	 [new]	Shining	Strahlende	輝く	반짝반짝이는	Resplandeciente	闪亮的	เปล่งประกาย
FoodAdjectives/GlowingTulipFlowerRareMale	Text	 [new]	Shining	Strahlender	輝く	반짝반짝이는	Resplandeciente	闪亮的	เปล่งประกาย
FoodAdjectives/GoldenAngleFish	Text	 [new]	Crystallized	Kristallisiertes	結晶化した	결정화된	Cristalizado	结晶的	ตกผลึก
FoodAdjectives/GoldenAngleFishFemale	Text	 [new]	Crystallized	Kristallisierte	結晶化した	결정화된	Cristalizada	结晶的	ตกผลึก
FoodAdjectives/GoldenAngleFishMale	Text	 [new]	Crystallized	Kristallisierter	結晶化した	결정화된	Cristalizado	结晶的	ตกผลึก
FoodAdjectives/GoldenDeepstalker	Text	 [new]	Splendid	Prächtiges	華麗な	인상적인	Espléndido	灿烂的	เลอเลิศ
FoodAdjectives/GoldenDeepstalkerFemale	Text	 [new]	Splendid	Prächtige	華麗な	인상적인	Espléndida	灿烂的	เลอเลิศ
FoodAdjectives/GoldenDeepstalkerMale	Text	 [new]	Splendid	Prächtiger	華麗な	인상적인	Espléndido	灿烂的	เลอเลิศ
FoodAdjectives/GoldenLarvaMeat	Text	 [new]	Shiny	Glänzendes	光沢のある	반짝대는	Reluciente	闪亮的	เป็นประกาย
FoodAdjectives/GoldenLarvaMeatFemale	Text	 [new]	Shiny	Glänzende	光沢のある	반짝대는	Reluciente	闪亮的	เป็นประกาย
FoodAdjectives/GoldenLarvaMeatMale	Text	 [new]	Shiny	Glänzender	光沢のある	반짝대는	Reluciente	闪亮的	เป็นประกาย
FoodAdjectives/GoldenTorrentDart	Text	 [new]	Golden	Goldenes	金色の	금색	Dorado	金色	สีทอง
FoodAdjectives/GoldenTorrentDartFemale	Text	 [new]	Golden	Goldene	金色の	금색	Dorada	金色	สีทอง
FoodAdjectives/GoldenTorrentDartMale	Text	 [new]	Golden	Goldener	金色の	금색	Dorado	金色	สีทอง
FoodAdjectives/GreenBlisterHead	Text	 [new]	Green	Grünes	緑色の	초록	Verde	绿色的	สีเขียว
FoodAdjectives/GreenBlisterHeadFemale	Text	 [new]	Green	Grüne	緑色の	초록	Verde	绿色的	สีเขียว
FoodAdjectives/GreenBlisterHeadMale	Text	 [new]	Green	Grüner	緑色の	초록	Verde	绿色的	สีเขียว
FoodAdjectives/GreenhornPico	Text	 [new]	Sticky	Klebriger	ベトベトの	끈적이는	Pegajoso	沾黏	เหนียว
FoodAdjectives/GreyDuneTail	Text	 [new]	Grey	Graues	灰色の	회색	Gris	灰色的	สีเทา
FoodAdjectives/GreyDuneTailFemale	Text	 [new]	Grey	Graue	灰色の	회색	Gris	灰色的	สีเทา
FoodAdjectives/GreyDuneTailMale	Text	 [new]	Grey	Grauer	灰色の	회색	Gris	灰色的	สีเทา
FoodAdjectives/Grumpkin	Text	 [new]	Lumpy	Knolliges	ゴツゴツした	울퉁불퉁한	Grumoso	凹凸不平的	ตะปุ่มตะป่ำ
FoodAdjectives/GrumpkinFemale	Text	 [new]	Lumpy	Knollige	ゴツゴツした	울퉁불퉁한	Grumosa	凹凸不平的	ตะปุ่มตะป่ำ
FoodAdjectives/GrumpkinMale	Text	 [new]	Lumpy	Knolliger	ゴツゴツした	울퉁불퉁한	Grumoso	凹凸不平的	ตะปุ่มตะป่ำ
FoodAdjectives/GrumpkinRare	Text	 [new]	Gleaming	Funkelndes	ピカピカの	환한	Rutilante	锃亮的	แวววาว
FoodAdjectives/GrumpkinRareFemale	Text	 [new]	Gleaming	Funkelnde	ピカピカの	환한	Rutilante	锃亮的	แวววาว
FoodAdjectives/GrumpkinRareMale	Text	 [new]	Gleaming	Funkelnder	ピカピカの	환한	Rutilante	锃亮的	แวววาว
FoodAdjectives/HeartBerry	Text	 [new]	Hearty	Süßes	栄養満点の	원기의	Sustancioso	心形的	อิ่มใจ
FoodAdjectives/HeartBerryFemale	Text	 [new]	Hearty	Süße	栄養満点の	원기의	Sustanciosa	心形的	อิ่มใจ
FoodAdjectives/HeartBerryMale	Text	 [new]	Hearty	Süßer	栄養満点の	원기의	Sustancioso	心形的	อิ่มใจ
FoodAdjectives/HeartBerryRare	Text	 [new]	Delightful	Köstliches	素晴らしい	기분 좋은	Delicioso	怡人的	เลิศรส
FoodAdjectives/HeartBerryRareFemale	Text	 [new]	Delightful	Köstliche	素晴らしい	기분 좋은	Deliciosa	怡人的	เลิศรส
FoodAdjectives/HeartBerryRareMale	Text	 [new]	Delightful	Köstlicher	素晴らしい	기분 좋은	Delicioso	怡人的	เลิศรส
FoodAdjectives/LarvaMeat	Text	 [new]	Gooey	Klebriges	ネバネバした	끈적대는	Viscoso	黏糊糊的	เหนียวเหนอะ
FoodAdjectives/LarvaMeatFemale	Text	 [new]	Gooey	Klebrige	ネバネバした	끈적대는	Viscosa	黏糊糊的	เหนียวเหนอะ
FoodAdjectives/LarvaMeatMale	Text	 [new]	Gooey	Klebriger	ネバネバした	끈적대는	Viscoso	黏糊糊的	เหนียวเหนอะ
FoodAdjectives/LithoTrilobite	Text	 [new]	Brittle	Brüchiger	もろい	바스라지는	Quebradizo	易碎	เปราะ
FoodAdjectives/Lunacorn	Text	 [new]	Iridescent	Schillerndes	虹色の	오색의	Iridiscente	斑斓的	เหลือบสี
FoodAdjectives/LunacornFemale	Text	 [new]	Iridescent	Schillernde	虹色の	오색의	Iridiscente	斑斓的	เหลือบสี
FoodAdjectives/LunacornMale	Text	 [new]	Iridescent	Schillernder	虹色の	오색의	Iridiscente	斑斓的	เหลือบสี
FoodAdjectives/LunacornRare	Text	 [new]	Brilliant	Brillantes	きらめく	멋진	Fulgente	绚丽的	สุกใส
FoodAdjectives/LunacornRareFemale	Text	 [new]	Brilliant	Brillante	きらめく	멋진	Fulgente	绚丽的	สุกใส
FoodAdjectives/LunacornRareMale	Text	 [new]	Brilliant	Brillanter	きらめく	멋진	Fulgente	绚丽的	สุกใส
FoodAdjectives/Meat	Text	 [new]	Tender	Zartes	柔らかい	부드러운	Suave	柔嫩的	นุ่ม
FoodAdjectives/MeatFemale	Text	 [new]	Tender	Zarte	柔らかい	부드러운	Suave	柔嫩的	นุ่ม
FoodAdjectives/MeatMale	Text	 [new]	Tender	Zarter	柔らかい	부드러운	Suave	柔嫩的	นุ่ม
FoodAdjectives/MoldShark	Text	 [new]	Moldy	Schimmliges	カビた	곰팡이 낀	Mohoso	长着霉菌的	ขึ้นรา
FoodAdjectives/MoldSharkFemale	Text	 [new]	Moldy	Schimmlige	カビた	곰팡이 낀	Mohosa	长着霉菌的	ขึ้นรา
FoodAdjectives/MoldSharkMale	Text	 [new]	Moldy	Schimmliger	カビた	곰팡이 낀	Mohosa	长着霉菌的	ขึ้นรา
FoodAdjectives/Mushroom	Text	 [new]	Mushy	Pilziges	キノコの	버섯 향	Blando	菌菇类的	เฉอะแฉะ
FoodAdjectives/MushroomFemale	Text	 [new]	Mushy	Pilzige	キノコの	버섯 향	Blanda	菌菇类的	เฉอะแฉะ
FoodAdjectives/MushroomMale	Text	 [new]	Mushy	Pilziger	キノコの	버섯 향	Blando	菌菇类的	เฉอะแฉะ
FoodAdjectives/OrangeCaveGuppy	Text	 [new]	Orange	Oranges	オレンジ色の	주황	Naranja	橙色的	สีส้ม
FoodAdjectives/OrangeCaveGuppyFemale	Text	 [new]	Orange	Orange	オレンジ色の	주황	Naranja	橙色的	สีส้ม
FoodAdjectives/OrangeCaveGuppyMale	Text	 [new]	Orange	Oranger	オレンジ色の	주황	Naranja	橙色的	สีส้ม
FoodAdjectives/Pewpaya	Text	 [new]	Juicy	Saftiges	ジューシーな	즙 많은	Jugoso	汁水丰富的	ชุ่มฉ่ำ
FoodAdjectives/PewpayaFemale	Text	 [new]	Juicy	Saftige	ジューシーな	즙 많은	Jugosa	汁水丰富的	ชุ่มฉ่ำ
FoodAdjectives/PewpayaMale	Text	 [new]	Juicy	Saftiger	ジューシーな	즙 많은	Jugoso	汁水丰富的	ชุ่มฉ่ำ
FoodAdjectives/PewpayaRare	Text	 [new]	Luscious	Frisches	甘みのある	감미로운	Sabroso	甘美可口的	หอมหวาน
FoodAdjectives/PewpayaRareFemale	Text	 [new]	Luscious	Frische	甘みのある	감미로운	Sabrosa	甘美可口的	หอมหวาน
FoodAdjectives/PewpayaRareMale	Text	 [new]	Luscious	Frischer	甘みのある	감미로운	Sabroso	甘美可口的	หอมหวาน
FoodAdjectives/Pinegrapple	Text	 [new]	Sweet	Süßes	甘い	달콤한	Dulce	滋味甘甜的	รสหวาน
FoodAdjectives/PinegrappleFemale	Text	 [new]	Sweet	Süße	甘い	달콤한	Dulce	滋味甘甜的	รสหวาน
FoodAdjectives/PinegrappleMale	Text	 [new]	Sweet	Süßer	甘い	달콤한	Dulce	滋味甘甜的	รสหวาน
FoodAdjectives/PinegrappleRare	Text	 [new]	Succulent	Sukkulentes	ジューシーな	즙이 많은	Suculento	香甜多汁的	อวบน้ำ
FoodAdjectives/PinegrappleRareFemale	Text	 [new]	Succulent	Sukkulente	ジューシーな	즙이 많은	Suculenta	香甜多汁的	อวบน้ำ
FoodAdjectives/PinegrappleRareMale	Text	 [new]	Succulent	Sukkulenter	ジューシーな	즙이 많은	Suculento	香甜多汁的	อวบน้ำ
FoodAdjectives/PinkCoralotl	Text	 [new]	Coral Red	Korallenrotes	コーラルレッドの	붉은 산호빛	Rojo coral	珊瑚色	สีแดงเข้ม
FoodAdjectives/PinkCoralotlFemale	Text	 [new]	Coral Red	Korallenrote	コーラルレッドの	붉은 산호빛	Roja coral	珊瑚色	สีแดงเข้ม
